Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/mÂ²),Chuva (mm)
15/10/2025,0,"23,9","24,4","23,9",59,61,56,"15,4","15,9",15,"887,3","887,3","886,7","1,7",127,"4,2",,0
15/10/2025,100,"23,4","23,8","22,6",67,69,60,17,17,"15,6","887,8","887,8","887,3",1,83,"2,8",,0
15/10/2025,200,"23,2","23,6","23,1",66,69,64,"16,4","17,1","16,4","887,8",888,"887,7","2,4",75,"5,1",,0
15/10/2025,300,"22,8","23,2","22,8",68,68,66,"16,5","16,7","16,4","887,4","887,8","887,4","1,5",67,"4,3",,0
15/10/2025,400,"22,4","22,8","22,4",69,70,67,"16,5","16,8","16,4","886,8","887,4","886,8","1,7",77,"3,9",,0
15/10/2025,500,"21,7","22,5","21,7",70,72,68,16,"16,6",16,"886,5","886,8","886,5","1,3",48,"3,1",,0
15/10/2025,600,"18,8","21,6","18,8",86,86,70,"16,3","16,3","15,9","886,2","886,5","886,2","0,9",63,"2,4",,0
15/10/2025,700,"19,1","19,1","18,3",86,87,84,"16,7","16,7","15,7","886,2","886,3","886,1","0,3",62,"1,8",,0
15/10/2025,800,"19,2","19,6",19,86,88,85,"16,9","17,2","16,7","886,6","886,6","886,2",1,139,"1,6",,0
15/10/2025,900,"19,3","19,8","19,1",87,88,84,"17,2","17,2","16,9","887,1","887,1","886,6",1,133,"2,4",5,0
15/10/2025,1000,"21,3","21,5","19,3",79,87,78,"17,4","17,7","16,7","887,8","887,8","887,1","2,4",126,"3,9","368,3",0
15/10/2025,1100,"22,9","23,2","21,3",69,80,67,17,"17,6","16,4","888,3","888,3","887,8","2,8",74,"5,9","1235,3",0
15/10/2025,1200,"24,7","24,7","22,8",63,70,62,"17,1","17,2","16,7","888,8","888,8","888,2",3,75,"5,8","2133,4",0
15/10/2025,1300,26,"26,6","24,6",58,64,57,"17,2","17,7","16,9","888,8","888,9","888,8","2,9",67,"6,2","2889,6",0
15/10/2025,1400,"28,5","28,6",26,46,58,45,"15,8","17,6","15,3","888,5","888,8","888,5","3,1",44,"6,6","3397,4",0
15/10/2025,1500,"28,1","29,3","27,8",45,48,42,15,"15,8","14,5","887,8","888,5","887,8","2,9",56,"7,8","3288,9",0
15/10/2025,1600,"28,6","29,6",28,41,46,40,"14,1","15,3","14,1","886,9","887,9","886,9","1,8",59,"6,5","2295,5",0
15/10/2025,1700,"29,5","30,2","28,4",38,44,37,"13,6","14,9","13,6",886,"886,9","885,9","1,9",11,"5,5","2421,3",0
15/10/2025,1800,"29,4","30,9","28,8",40,42,35,"14,2",15,"13,2","885,2",886,"885,2","1,6",54,"4,9","2159,6",0
15/10/2025,1900,"29,9","29,9","28,7",38,44,38,"14,1","15,5","13,8","884,6","885,2","884,6","1,3",222,"3,6","709,8",0
15/10/2025,2000,"23,2","30,9","22,6",67,71,35,"16,8","17,6","13,5","885,3","885,3","884,6","1,8",183,"11,7","924,2","0,4"
15/10/2025,2100,"22,5","23,3",22,77,83,66,"18,2","19,3","16,5","885,3","885,3","885,1","1,3",323,5,"84,9",0
15/10/2025,2200,23,"23,1",22,73,81,73,18,"18,9","17,7",886,"886,1","885,3",2,18,4,"0,3",0
15/10/2025,2300,"22,8","23,3","22,8",74,75,71,"17,8","18,1","17,7","886,7","886,7",886,2,12,"4,9",,0