id_acesso,usuario,data_hora,ip_origem,status
1,lucas_ti,2023-10-31 17:57:28,145.98.77.97,Falha
2,paulo_fin,2023-11-18 17:28:55,192.168.1.166,Sucesso
3,bruna_ads,2023-11-20 17:35:39,69.68.226.21,Sucesso
4,adm_jose,2023-11-08 18:55:36,1.243.75.38,Sucesso
5,paulo_fin,2023-11-27 08:42:26,192.168.1.177,Sucesso
6,joao_dev,2023-12-09 22:04:28,192.168.1.28,Sucesso
7,marina_mkt,2023-11-08 13:08:36,196.73.91.10,Sucesso
8,adm_jose,2023-11-26 00:48:16,60.190.86.73,Falha
9,rafael_ops,2023-11-05 23:59:30,192.168.1.17,Sucesso
10,bruna_ads,2023-11-20 02:35:09,204.251.218.145,Sucesso
11,joao_dev,2023-11-05 07:19:23,192.168.1.243,Sucesso
12,aline_com,2023-10-26 09:27:48,192.168.1.138,Sucesso
13,joao_dev,2023-12-09 10:03:14,192.168.1.35,Sucesso
14,sandra_gp,2023-11-08 02:22:24,192.168.1.18,Sucesso
15,renato_log,2023-11-30 07:57:26,192.168.1.234,Sucesso
16,tiago_suporte,2023-12-07 08:51:51,192.168.1.229,Sucesso
17,tiago_suporte,2023-11-29 12:52:24,113.204.234.113,Sucesso
18,paulo_fin,2023-11-16 10:45:54,8.230.96.252,Sucesso
19,ana_vendas,2023-11-29 11:56:04,192.168.1.3,Sucesso
20,rafael_ops,2023-11-21 14:40:34,192.168.1.253,Falha
21,ana_vendas,2023-12-05 05:56:54,178.165.212.177,Sucesso
22,lucas_ti,2023-10-25 02:09:19,192.168.1.10,Falha
23,fernanda_sup,2023-10-26 22:29:31,192.168.1.128,Sucesso
24,paulo_fin,2023-11-15 22:57:32,215.247.172.203,Sucesso
25,renato_log,2023-11-19 11:59:48,192.168.1.230,Sucesso
26,lucas_ti,2023-11-19 00:06:34,74.57.73.73,Sucesso
27,sandra_gp,2023-10-30 14:20:06,192.168.1.127,Sucesso
28,aline_com,2023-11-01 14:27:41,156.178.3.155,Falha
29,aline_com,2023-12-08 09:33:09,197.63.53.15,Sucesso
30,paulo_fin,2023-12-09 16:22:57,192.168.1.156,Falha
31,adm_jose,2023-11-25 09:00:48,192.168.1.188,Sucesso
32,tiago_suporte,2023-12-02 04:48:44,192.168.1.76,Falha
33,ana_vendas,2023-12-08 17:13:03,192.168.1.30,Sucesso
34,lucas_ti,2023-11-23 01:13:43,192.168.1.196,Falha
35,bruna_ads,2023-11-15 11:01:44,210.91.181.172,Sucesso
36,renato_log,2023-11-22 15:36:25,192.168.1.249,Sucesso
37,fernanda_sup,2023-11-12 16:38:30,192.168.1.244,Sucesso
38,bruna_ads,2023-11-25 10:50:05,192.168.1.224,Sucesso
39,ana_vendas,2023-11-28 17:25:52,87.124.108.50,Sucesso
40,camila_dp,2023-12-01 09:16:09,234.192.49.169,Falha
41,paulo_fin,2023-11-26 18:37:36,139.243.164.67,Sucesso
42,aline_com,2023-10-25 04:25:02,109.39.1.18,Sucesso
43,ana_vendas,2023-11-24 14:49:35,94.234.7.118,Sucesso
44,aline_com,2023-10-29 18:50:36,192.168.1.156,Sucesso
45,ana_vendas,2023-11-23 03:57:31,5.253.121.120,Falha
46,tiago_suporte,2023-11-07 09:52:16,192.168.1.147,Sucesso
47,marina_mkt,2023-12-03 08:48:52,192.168.1.55,Sucesso
48,lucas_ti,2023-11-07 10:05:31,192.168.1.220,Falha
49,camila_dp,2023-10-29 03:32:27,25.124.168.97,Sucesso
50,fernanda_sup,2023-11-08 06:42:00,121.101.250.121,Falha
51,renato_log,2023-10-30 16:01:21,192.168.1.197,Sucesso
52,tiago_suporte,2023-11-06 07:34:29,192.168.1.198,Sucesso
53,ana_vendas,2023-12-04 04:42:17,249.148.75.91,Sucesso
54,carlos_rh,2023-11-30 23:00:36,157.18.151.244,Sucesso
55,sandra_gp,2023-11-28 12:07:22,192.168.1.193,Sucesso
56,bruna_ads,2023-11-29 14:29:24,192.168.1.113,Sucesso
57,rafael_ops,2023-11-26 11:12:48,97.183.103.94,Sucesso
58,lucas_ti,2023-11-05 06:33:21,53.226.206.26,Sucesso
59,carlos_rh,2023-10-26 19:48:42,236.148.141.58,Sucesso
60,ana_vendas,2023-10-30 05:48:46,99.119.36.122,Sucesso
61,renato_log,2023-10-28 19:57:18,103.31.181.123,Sucesso
62,fernanda_sup,2023-11-08 00:11:07,192.168.1.219,Sucesso
63,fernanda_sup,2023-11-13 00:58:37,192.168.1.107,Sucesso
64,sandra_gp,2023-11-04 20:11:44,192.168.1.111,Falha
65,fernanda_sup,2023-11-21 00:52:52,58.147.37.143,Sucesso
66,camila_dp,2023-10-30 19:22:22,224.47.36.55,Sucesso
67,paulo_fin,2023-11-03 08:16:32,192.168.1.235,Sucesso
68,carlos_rh,2023-11-22 23:05:49,192.168.1.27,Sucesso
69,rafael_ops,2023-11-14 11:24:42,215.205.224.110,Sucesso
70,camila_dp,2023-11-29 12:13:04,224.42.214.212,Falha
71,lucas_ti,2023-10-28 22:09:36,192.168.1.23,Sucesso
72,bruna_ads,2023-12-09 16:17:29,192.168.1.38,Falha
73,tiago_suporte,2023-11-21 21:26:01,192.168.1.165,Sucesso
74,rafael_ops,2023-12-07 09:07:39,192.168.1.106,Falha
75,fernanda_sup,2023-11-20 01:50:44,192.168.1.244,Sucesso
76,sandra_gp,2023-11-23 03:24:24,192.168.1.145,Sucesso
77,ana_vendas,2023-12-05 23:40:00,77.103.71.203,Sucesso
78,tiago_suporte,2023-12-09 15:16:14,224.102.240.200,Sucesso
79,sandra_gp,2023-11-20 06:55:54,192.168.1.43,Sucesso
80,camila_dp,2023-12-05 02:06:09,83.181.104.99,Sucesso
81,fernanda_sup,2023-11-03 23:37:26,206.181.57.42,Sucesso
82,renato_log,2023-12-08 22:01:53,192.168.1.17,Falha
83,renato_log,2023-11-13 11:02:35,192.168.1.70,Sucesso
84,marina_mkt,2023-11-23 02:20:10,192.168.1.33,Falha
85,camila_dp,2023-12-01 08:47:51,145.246.106.177,Sucesso
86,marina_mkt,2023-11-17 12:46:54,108.34.200.45,Sucesso
87,fernanda_sup,2023-11-08 23:40:57,192.168.1.253,Falha
88,fernanda_sup,2023-10-30 23:05:20,192.168.1.240,Sucesso
89,camila_dp,2023-11-01 15:31:10,192.168.1.202,Sucesso
90,paulo_fin,2023-11-28 00:35:00,63.243.161.110,Sucesso
91,joao_dev,2023-12-05 01:40:09,81.75.231.169,Sucesso
92,camila_dp,2023-11-03 19:02:00,144.93.73.212,Sucesso
93,adm_jose,2023-11-25 15:42:48,106.206.92.107,Falha
94,bruna_ads,2023-11-15 14:03:20,192.168.1.6,Sucesso
95,ana_vendas,2023-10-25 10:00:56,200.160.122.186,Falha
96,renato_log,2023-11-07 06:59:53,174.111.137.171,Sucesso
97,ana_vendas,2023-12-08 18:38:56,192.168.1.22,Falha
98,sandra_gp,2023-12-07 15:37:54,192.168.1.97,Falha
99,carlos_rh,2023-12-07 05:17:22,192.168.1.100,Sucesso
100,camila_dp,2023-12-03 01:17:56,192.168.1.164,Sucesso
101,ana_vendas,2023-12-03 23:35:40,192.168.1.224,Sucesso
102,camila_dp,2023-11-01 08:18:00,64.207.23.72,Falha
103,carlos_rh,2023-11-12 09:05:02,169.96.185.67,Sucesso
104,carlos_rh,2023-10-27 13:15:06,192.168.1.243,Sucesso
105,camila_dp,2023-11-11 17:45:12,192.168.1.21,Sucesso
106,rafael_ops,2023-11-08 01:59:07,192.168.1.62,Sucesso
107,carlos_rh,2023-10-29 21:51:41,192.168.1.211,Sucesso
108,aline_com,2023-12-06 04:03:43,192.168.1.78,Sucesso
109,tiago_suporte,2023-10-26 09:01:44,192.168.1.135,Sucesso
110,rafael_ops,2023-11-11 16:37:46,192.168.1.213,Sucesso
111,marina_mkt,2023-11-20 11:37:19,36.239.104.3,Sucesso
112,adm_jose,2023-11-26 08:24:24,115.114.119.51,Sucesso
113,lucas_ti,2023-11-10 11:37:12,199.151.164.162,Sucesso
114,adm_jose,2023-12-05 15:46:57,192.168.1.22,Falha
115,ana_vendas,2023-10-25 20:42:01,192.168.1.183,Sucesso
116,aline_com,2023-11-26 18:25:11,19.189.205.86,Falha
117,aline_com,2023-11-25 16:00:36,114.218.114.209,Sucesso
118,sandra_gp,2023-11-21 14:17:05,192.168.1.241,Sucesso
119,fernanda_sup,2023-11-03 11:39:14,192.168.1.201,Sucesso
120,tiago_suporte,2023-11-05 03:07:04,192.168.1.1,Sucesso
121,carlos_rh,2023-11-25 05:14:35,99.202.32.217,Falha
122,joao_dev,2023-11-05 17:32:53,3.116.156.245,Sucesso
123,renato_log,2023-11-20 03:16:04,31.167.98.111,Sucesso
124,aline_com,2023-11-22 22:50:43,133.200.251.200,Sucesso
125,renato_log,2023-11-16 00:06:15,185.85.169.150,Sucesso
126,ana_vendas,2023-12-02 09:01:19,192.168.1.197,Sucesso
127,lucas_ti,2023-11-19 11:23:34,192.168.1.141,Sucesso
128,aline_com,2023-11-12 00:45:25,189.30.16.208,Sucesso
129,joao_dev,2023-12-06 17:46:50,76.151.226.235,Sucesso
130,sandra_gp,2023-10-27 12:30:57,143.151.9.101,Sucesso
131,sandra_gp,2023-11-08 19:39:30,192.168.1.38,Sucesso
132,sandra_gp,2023-11-14 09:09:35,192.168.1.21,Sucesso
133,tiago_suporte,2023-11-28 17:39:59,192.168.1.179,Sucesso
134,carlos_rh,2023-11-10 21:58:38,192.168.1.83,Falha
135,fernanda_sup,2023-11-30 20:27:12,176.3.246.44,Sucesso
136,rafael_ops,2023-12-08 08:05:59,203.76.200.239,Sucesso
137,camila_dp,2023-11-14 18:37:21,192.168.1.26,Sucesso
138,sandra_gp,2023-11-09 11:16:44,231.8.46.42,Sucesso
139,marina_mkt,2023-11-12 14:05:58,192.168.1.39,Sucesso
140,aline_com,2023-10-25 01:16:05,192.168.1.207,Sucesso
141,aline_com,2023-11-09 07:17:22,192.168.1.16,Sucesso
142,marina_mkt,2023-11-17 09:09:11,192.168.1.127,Sucesso
143,fernanda_sup,2023-10-26 20:03:59,88.216.84.210,Sucesso
144,tiago_suporte,2023-11-03 06:37:40,31.5.232.130,Sucesso
145,joao_dev,2023-11-06 16:44:52,192.168.1.215,Sucesso
146,marina_mkt,2023-11-09 10:25:19,192.168.1.126,Sucesso
147,rafael_ops,2023-11-10 23:50:25,192.168.1.28,Sucesso
148,carlos_rh,2023-11-10 23:37:32,192.168.1.246,Sucesso
149,marina_mkt,2023-12-08 18:25:02,192.168.1.95,Falha
150,bruna_ads,2023-11-14 05:13:16,192.168.1.53,Sucesso
151,rafael_ops,2023-12-07 22:02:10,200.45.141.205,Sucesso
152,bruna_ads,2023-11-11 19:30:38,192.168.1.232,Sucesso
153,carlos_rh,2023-11-01 13:16:29,192.168.1.199,Sucesso
154,carlos_rh,2023-12-04 03:46:56,163.78.188.211,Sucesso
155,ana_vendas,2023-11-13 09:02:14,180.182.137.134,Falha
156,renato_log,2023-11-27 13:58:09,6.15.79.76,Sucesso
157,sandra_gp,2023-11-10 18:12:00,79.125.108.235,Sucesso
158,carlos_rh,2023-11-16 20:27:04,148.25.128.85,Falha
159,tiago_suporte,2023-11-16 20:26:13,192.168.1.188,Sucesso
160,ana_vendas,2023-10-28 12:18:54,192.168.1.91,Sucesso
161,aline_com,2023-11-24 16:52:50,192.168.1.39,Sucesso
162,paulo_fin,2023-11-17 01:58:11,196.234.187.249,Sucesso
163,bruna_ads,2023-11-12 11:04:20,192.168.1.17,Sucesso
164,camila_dp,2023-11-29 19:43:46,192.168.1.35,Sucesso
165,marina_mkt,2023-12-01 17:24:28,192.168.1.134,Sucesso
166,ana_vendas,2023-11-19 12:33:23,192.168.1.130,Sucesso
167,rafael_ops,2023-12-06 23:10:19,11.70.4.195,Sucesso
168,fernanda_sup,2023-11-03 14:06:47,81.22.53.151,Sucesso
169,aline_com,2023-11-09 12:08:16,192.168.1.20,Sucesso
170,ana_vendas,2023-11-02 13:48:32,192.168.1.125,Falha
171,renato_log,2023-11-29 01:35:03,192.168.1.44,Sucesso
172,adm_jose,2023-10-27 13:21:46,199.133.96.49,Sucesso
173,rafael_ops,2023-10-29 07:25:07,192.168.1.26,Sucesso
174,lucas_ti,2023-11-11 03:58:36,192.168.1.157,Sucesso
175,tiago_suporte,2023-11-06 00:39:10,110.222.201.26,Sucesso
176,fernanda_sup,2023-11-10 03:13:53,200.51.250.241,Falha
177,marina_mkt,2023-12-09 13:49:03,131.175.165.1,Sucesso
178,fernanda_sup,2023-11-27 00:18:10,205.80.9.28,Sucesso
179,adm_jose,2023-12-08 16:24:29,192.168.1.20,Sucesso
180,rafael_ops,2023-11-08 10:01:06,69.102.36.77,Sucesso
181,aline_com,2023-12-07 01:20:50,192.168.1.48,Sucesso
182,joao_dev,2023-10-26 08:52:51,192.168.1.115,Sucesso
183,tiago_suporte,2023-12-02 22:41:20,194.145.228.73,Falha
184,bruna_ads,2023-12-08 14:21:02,226.189.28.74,Sucesso
185,tiago_suporte,2023-10-25 15:59:02,192.63.242.87,Sucesso
186,paulo_fin,2023-11-03 23:48:03,246.180.117.16,Falha
187,fernanda_sup,2023-11-11 13:01:39,209.106.222.155,Sucesso
188,tiago_suporte,2023-12-07 20:41:39,192.168.1.62,Sucesso
189,joao_dev,2023-11-10 18:04:31,192.168.1.3,Sucesso
190,renato_log,2023-12-09 18:49:28,192.168.1.93,Falha
191,renato_log,2023-11-23 00:55:42,32.176.63.14,Sucesso
192,tiago_suporte,2023-10-25 18:46:26,192.168.1.239,Sucesso
193,lucas_ti,2023-11-10 03:46:24,192.168.1.177,Sucesso
194,lucas_ti,2023-12-05 06:36:45,75.223.150.138,Sucesso
195,rafael_ops,2023-11-25 18:40:37,192.168.1.74,Sucesso
196,fernanda_sup,2023-11-21 22:33:51,192.168.1.132,Falha
197,camila_dp,2023-11-23 04:37:52,30.59.53.92,Sucesso
198,adm_jose,2023-11-01 18:41:56,38.100.217.98,Sucesso
199,rafael_ops,2023-11-27 10:49:44,94.238.254.24,Falha
200,rafael_ops,2023-10-26 17:05:45,192.168.1.191,Falha
